"Dấu thời gian","Bạn hiện đang là học sinh lớp mấy?","Bạn đến từ miền nào? (Bao gồm các khu vực hải đảo tương ứng)","Bạn giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Bạn không giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Điểm trung bình trong lớp của bạn như thế nào ở học kỳ gần nhất?","Bạn dự định sẽ thi những tổ hợp nào? 
(Nếu chưa quyết định, em hãy điền tổ hợp mà em đang có xu hướng chọn cao nhất nhé.)","Bạn dự đoán điểm tổ hợp của bạn sẽ trong khoảng nào?","Mục đích bạn thi THPTQG là gì?","Giả sử bạn vừa biết điểm thi tốt nghiệp THPTQG, bạn muốn biết điều gì về kết quả của mình?","Ngoài những mong muốn trên, bạn còn khao khát điều gì khác khi cầm tờ kết quả trên tay? (Ví dụ: Muốn biết mình có thuộc Top 100 của tỉnh không, hay muốn so sánh điểm với bạn bè một cách ẩn danh...)  "
"2026/04/02 12:58:17 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Sinh học","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học","[8.0 - 9.0)","Toán Văn Hóa Sinh","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Muốn biết đậu hay không"
"2026/04/02 12:59:18 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Sinh học","Toán (Hình học)","[9.0 - 10.0]","Toán - Sinh - Anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm","Muốn biết mình thuộc top mấy, so sánh điểm với các bạn ẩn danh"
"2026/04/02 1:00:17 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học;Sinh học","Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp","[9.0 - 10.0]","A","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn""",""
"2026/04/02 1:00:49 CH GMT+7","lớp 9","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Tiếng Anh","[9.0 - 10.0]","khối A01 (Toán, Lý, Anh)","[15 - 18)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Em muốn có thể so sánh điểm số một cách ẩn danh với nhóm bạn cùng mục tiêu để xem mình đang đứng ở đâu, từ đó có thêm động lực hoặc kinh nghiệm cho các bước tiếp theo."
"2026/04/02 1:04:28 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","GDKT&PL (Hoặc GDCD)","Tiếng Anh","[5.0 - 6.0)","tổ hợp D","[15 - 18)","Đủ điều kiện xét học bạ / ĐGNL","Phân tích phổ điểm",""
"2026/04/02 1:10:03 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Lịch sử;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn","[7.0 - 8.0)","C00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Ko"
"2026/04/02 1:18:36 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Vật lý","[7.0 - 8.0)","toán lý anh","Khác","Lấy điểm để đi du học hoặc xét tuyển riêng.","So sánh tổ hợp","không viết"
"2026/04/02 1:42:11 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh","Tiếng Anh","Mình ngại lắm / Không muốn trả lời","A00","[18 - 21)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""","Muốn biết khả năng đậu vào ngành mình chọn, so sánh điểm với mặt bằng chung và biết mình cần cố gắng thêm ở môn nào."
"2026/04/02 2:20:15 CH GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","[9.0 - 10.0]","Toán, ngữ văn, tiếng anh","[27 - 30]","Khác","Xác suất ""an toàn""",""
"2026/04/02 3:26:25 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học;Sinh học","Ngữ văn;Vật lý;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Công nghệ công nghiệp;Công nghệ nông nghiệp","[8.0 - 9.0)","B00","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối","ko"
"2026/04/02 3:29:24 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Thể dục ","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Hóa học","Mình đang là học sinh lớp 10 nên chưa biết","Lý Hóa Toán Văn ","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 3:34:30 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","thể dục","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học","[9.0 - 10.0]","văn lý toán anh","[27 - 30]","Lấy điểm để đi du học hoặc xét tuyển riêng.","So sánh tổ hợp","tôi muốn thuộc top 100 trong thành phố"
"2026/04/02 3:40:36 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","thể chất","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học","[9.0 - 10.0]","toán anh văn ","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính","tôi muốn thuộc top 100 trong cả nước"
"2026/04/02 4:14:30 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Địa lý;GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn","[9.0 - 10.0]","D01","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm",""
"2026/04/02 4:17:58 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Hóa học","Vật lý","[9.0 - 10.0]","Toán - Lý - Hoá","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối",""
"2026/04/02 4:44:10 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Vật lý;Hóa học","Toán (Hình học)","[8.0 - 9.0)","A00 - Toán Lý Hóa","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Muốn biết mình có thuộc Top 100 của thành phố không, muốn so sánh điểm với bạn bè một cách ẩn danh"
"2026/04/02 4:48:10 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp;","Mình đang là học sinh lớp 10 nên chưa biết","Toán lý anh","Khác","Khác","Xác suất ""an toàn"";","Đậu đại học"
"2026/04/02 4:48:26 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Tin học","Mình đang là học sinh lớp 10 nên chưa biết","toán lí anh","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""",""
"2026/04/02 4:50:35 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Hóa học","Tiếng Anh;Tin học","[7.0 - 8.0)","A00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";So sánh tổ hợp",""
"2026/04/02 4:58:17 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","[6.0 - 7.0)","A00","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""","Không có "
"2026/04/02 4:58:50 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Địa lý;","Toán (Đại số / Giải tích)","Mình đang là học sinh lớp 10 nên chưa biết","Địa - sử","Khác","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn""","Chúc anh chị thi vào ngôi trường đại học mà mình mong muốn!!"
"2026/04/02 5:03:10 CH GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","Vật lý;Lịch sử","[9.0 - 10.0]","D01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Không"
"2026/04/02 5:08:40 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học)","Vật lý","[9.0 - 10.0]","A01","[21 - 24)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm","Muốn biết hạng"
"2026/04/02 5:17:24 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý;Tin học","Ngữ văn;Hóa học;Sinh học","Mình đang là học sinh lớp 10 nên chưa biết","Toán,Lý,Anh văn","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Phân tích phổ điểm",""
"2026/04/02 5:28:42 CH GMT+7","Thí sinh tự do","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích)","Ngữ văn;Tin học","[8.0 - 9.0)","Toán lý hoá","[24 - 27)","Khác","Thứ hạng ước tính",""
"2026/04/02 5:31:11 CH GMT+7","Thí sinh tự do","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Ngữ văn","Ngữ văn","[8.0 - 9.0)","Ngữ văn","[21 - 24)","Đủ điều kiện xét học bạ / ĐGNL","So sánh tổ hợp",""
"2026/04/02 5:34:43 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh","Ngữ văn;Lịch sử","[8.0 - 9.0)","D01","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""","muốn mình đạt được mục tiêu của bản thân đã đặt ra"
"2026/04/02 6:01:24 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Toán (Hình học)","[7.0 - 8.0)","Toán - Văn - Địa","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Mình muốn so điểm với bạn bè một cách ẩn danh."
"2026/04/02 6:04:09 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Vật lý;Hóa học","Ngữ văn","Mình đang là học sinh lớp 10 nên chưa biết","A00","Khác","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính;Phân tích phổ điểm",""
"2026/04/02 6:08:07 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh","Ngữ văn;Vật lý","Mình đang là học sinh lớp 10 nên chưa biết","Toán Lý Anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","muốn biết mình có trong top 100 tỉnh hay không?"
"2026/04/02 6:10:17 CH GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Tiếng Anh","Định thi 1 môn thôi","[9.0 - 10.0]","A01","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Thứ hạng ước tính;Phân tích phổ điểm","Không"
"2026/04/02 6:10:42 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Vật lý","Mình đang là học sinh lớp 10 nên chưa biết","toán lý anh","[24 - 27)","Khác","Xác suất ""an toàn""","mình muốn biết có đủ điểm đậu hay không"
"2026/04/02 6:20:29 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Lịch sử","Toán (Đại số / Giải tích);Toán (Hình học)","Mình ngại lắm / Không muốn trả lời","Tự nhiên","[21 - 24)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","Thuộc top của lớp là dc r"
"2026/04/02 6:20:42 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích)","Tiếng Anh","[8.0 - 9.0)","Toán,lí,anh,văn","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính","Có"
"2026/04/02 6:30:35 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tin học","GDKT&PL (Hoặc GDCD)","[7.0 - 8.0)","Địa văn sử","Khác","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Không"
"2026/04/02 6:30:53 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","không giỏi môn nào ","chịu ","Mình đang là học sinh lớp 10 nên chưa biết","k bt","Khác","Xét tuyển bằng điểm thi THPTQG","k bt ","ko "
"2026/04/02 6:33:21 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Hình học)","[8.0 - 9.0)","Tổ hợp D01","[24 - 27)","Chỉ để xét tốt nghiệp THPT / Thi cho có","So sánh tổ hợp",""
"2026/04/02 6:35:35 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Lịch sử;","Vật lý","[6.0 - 7.0)","tự nhiên","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 6:39:47 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý","Sinh học;Tin học","[8.0 - 9.0)","A01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối","Muốn đậu đại học"
"2026/04/02 6:40:50 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Vật lý;Tin học","[8.0 - 9.0)","D15","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""","Muốn biết đậu THPTQG"
"2026/04/02 6:43:33 CH GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Hóa học;Sinh học","Toán (Đại số / Giải tích);Toán (Hình học)","Mình ngại lắm / Không muốn trả lời","B00 ( Toán,Hoá,Sinh )","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối",""
"2026/04/02 6:56:38 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích)","Toán (Đại số / Giải tích)","[7.0 - 8.0)","a00","[27 - 30]","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối",""
"2026/04/02 7:00:48 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","[7.0 - 8.0)","văn, toán, địa","Khác","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 7:01:22 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Sinh học","Ngữ văn;Lịch sử","[8.0 - 9.0)","KHTN","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm","Không "
"2026/04/02 7:03:38 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Ngữ văn","Mình ngại lắm / Không muốn trả lời","không biết","Khác","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","không biết"
"2026/04/02 7:15:00 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Vật lý;Lịch sử;Địa lý","Ngữ văn;Hóa học;Lịch sử","Mình đang là học sinh lớp 10 nên chưa biết","A00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối","muốn biết có thuộc top 100 tình hay không
"
"2026/04/02 7:19:23 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;Tin học;Công nghệ công nghiệp","Ngữ văn;GDKT&PL (Hoặc GDCD);Công nghệ nông nghiệp","[9.0 - 10.0]","A00","[27 - 30]","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Top 1 của trường"
"2026/04/02 7:21:03 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Sinh học","Toán (Đại số / Giải tích);Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","A00","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""","Muốn biet mình co thuoc Top 100 của tỉnh không , hay muốn so sánh điểm với bạn bè một cách ẩn danh…"
"2026/04/02 7:24:28 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích)","Toán (Đại số / Giải tích)","[7.0 - 8.0)","A00","[27 - 30]","Khác","Thứ hạng ước tính;",""
"2026/04/02 7:25:32 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý","Ngữ văn","Mình đang là học sinh lớp 10 nên chưa biết","Toán , Vật lí, Tiếng anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính","Không , mình chỉ cần đậu được trường mình ao ước"
"2026/04/02 7:26:40 CH GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Hóa học","Ngữ văn","[7.0 - 8.0)","A00","[24 - 27)","Khác","Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Hồi đó chú thi trong top"
"2026/04/02 7:26:50 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Vật lý;Lịch sử;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Tin học","Mình đang là học sinh lớp 10 nên chưa biết","Anh, Địa, Văn","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","tôi không, chỉ cần đậu trường mà tôi mong muốn là được"
"2026/04/02 7:28:08 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Địa lý;Tin học","Toán (Hình học);Tiếng Anh;GDKT&PL (Hoặc GDCD)","[8.0 - 9.0)","C04","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 7:28:24 CH GMT+7","Lớp 10","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Ngữ văn;Tiếng Anh;GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích);Toán (Hình học)","[9.0 - 10.0]","Toán văn anh gdktpl","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính","Thủ khoa "
"2026/04/02 7:28:34 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Ngữ văn","[9.0 - 10.0]","A01 và D01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm","muốn biết mình thuộc top 50 tỉnh và top 5 trường hay ko"
"2026/04/02 7:28:39 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Hóa học;Sinh học","Hóa học;Sinh học","[9.0 - 10.0]","B00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Muốn biết bản thân thuộc trong top điểm cao của tỉnh hay không"
"2026/04/02 7:30:11 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh","Ngữ văn;Vật lý","Mình đang là học sinh lớp 10 nên chưa biết","Toán , Vật Lý, Tiếng Anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Không, Mình chỉ muốn đậu vào trường Đại học mình ao ước"
"2026/04/02 7:31:08 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Hình học);Vật lý;Hóa học;Sinh học","Địa lý;GDKT&PL (Hoặc GDCD);Tin học","[7.0 - 8.0)","Lý hoá sinh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 7:31:31 CH GMT+7","Lớp 11","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý","Tiếng Anh","[7.0 - 8.0)","A01","[21 - 24)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp;","Muốn xem phổ điểm của trường"
"2026/04/02 7:32:39 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Vật lý;Hóa học;Sinh học","[8.0 - 9.0)","A01","[27 - 30]","Lấy điểm để đi du học hoặc xét tuyển riêng.","Phân tích phổ điểm","muốn so sánh điểm với bạn bè một cách ẩn danh"
"2026/04/02 7:32:40 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Hóa học","Vật lý","[9.0 - 10.0]","A00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:33:24 CH GMT+7","Lớp 11","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Hóa học","Tiếng Anh","[8.0 - 9.0)","D07","[21 - 24)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:34:12 CH GMT+7","Thí sinh tự do","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Hóa học","Hóa học","[7.0 - 8.0)","A00","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:34:50 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Hóa học;Sinh học","Hóa học;Sinh học","[8.0 - 9.0)","B00","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:35:40 CH GMT+7","Thầy cô","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Ngữ văn;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD)","Không có","Khác (Cha mẹ, thầy cô,...)","D01","[24 - 27)","Khác","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
